text,labels
Hi,Greet
Hi there,Greet
Hello ,Greet
Hello There,Greet
Namste,Greet
Namastey,Greet
Namaste,Greet
Good Morning,Greet
Good Afternoon,Greet
Good Evening,Greet
What's up?,Greet
Howdy!,Greet
Hiya!,Greet
Wassup?,Greet
What’s good?,Greet
What's crackin'?,Greet
Heya!,Greet
How's it hangin'?,Greet
Hi there!,Greet
Morning!,Greet
Hey buddy!,Greet
Hello sunshine!,Greet
What’s new?,Greet
How’s life?,Greet
Yo yo!,Greet
Heyy,Greet
Holla!,Greet
Yoo-hoo!,Greet
"What’s up, dude?",Greet
"Greetings, earthling!",Greet
Oye!,Greet
Yo!,Greet
Hey!,Greet
Good Bye,Sendoff
Tata,Sendoff
Bye,Sendoff
Get back to you soon,Sendoff
Bye Bye,Sendoff
Chal Ta hoon,Sendoff
Bye!,Sendoff
Later!,Sendoff
See ya later!,Sendoff
See ya!,Sendoff
Catch you later!,Sendoff
Take care!,Sendoff
I’m out!,Sendoff
Peace!,Sendoff
Adios!,Sendoff
Catch you on the flip side!,Sendoff
Talk to you soon!,Sendoff
See you around!,Sendoff
I’m off!,Sendoff
Talk To You Later,Sendoff
Bye Felicia!,Sendoff
Ciao for now!,Sendoff
Be Right Back,Sendoff
Holla back!,Sendoff
Laterz!,Sendoff
Walk good!,Sendoff
Ta-ta!,Sendoff
Sayonara!,Sendoff
Tata !,Sendoff
I am Off,Sendoff
see u later,Sendoff
see you later,Sendoff
let's discuss tomorrow,Sendoff
lets discuss after sometime,Sendoff
discuss it later,Sendoff
Predict this stock name called Amazon,AMZN
Let me know Future prices of Amazon,AMZN
Let me know Forecast of Amazon Share,AMZN
Predict Amazon Stock,AMZN
Find Future rates of Amazon,AMZN
Find Next Day Rates of Amazon,AMZN
Give me Forcast of Amazon share,AMZN
Give me Forecast of Amazon stock,AMZN
Give me predictions of amazon stock,AMZN
Predict this stock name called AMZN,AMZN
Let me know Future prices of AMZN,AMZN
Let me know Forecast of AMZN Share,AMZN
Predict AMZN Stock,AMZN
Find Future rates of AMZN,AMZN
Find Next Day Rates of AMZN,AMZN
Give me Forcast of AMZN share,AMZN
Give me Forecast of AMZN stock,AMZN
Give me predictions of AMZN stock,AMZN
